date,code,name,setup,trading_score,etf_tag,00981A_source_date,00981A_shares,00981A_weight,00981A_rank,00981A_top10,00981A_new,00981A_prev_shares,00981A_delta_shares,00981A_delta_pct,close_raw,close_adj,volume,ma5,ma20,ma20_prev,ma60,dif,macd,osc,osc_prev,osc_expanding,ret20,ret60,rs20,rs60,rs_accel,rs20_rank,rs60_rank,close_above_ma20,ma20_up,macd_bull,osc_positive,osc_improving,macd_near_cross,osc_flip_price,ma20_upturn_price
2026-07-06,6488,環球晶,A,90.2,Neutral,20260706,50000,,36,False,False,50000,0,0.0,1335.0,1335.0,21873746.0,1181.0,1004.35,978.15,804.65,89.86151656635388,57.31079600679879,32.550720559555096,22.26381110353411,True,0.6461159062885327,1.983240223463687,0.6131578811751719,1.6477599808001837,-1.0346020996250118,100.0,98.0,True,True,True,True,True,False,Already > 0,Already Up
2026-07-06,2481,強茂,A,89.00000000000001,Neutral,20260706,5000,,37,False,False,5000,0,0.0,227.5,227.5,8449376.0,205.0,171.125,168.0,137.3863665262858,16.372473480999247,11.886900873659556,4.485572607339691,3.14092020893321,True,0.3787878787878789,1.3051746931169244,0.34582985367451813,0.9696944504534211,-0.6238645967789029,98.0,92.0,True,True,True,True,True,False,Already > 0,Already Up
2026-07-06,8150,南茂,A,84.80000000000001,Neutral,20260706,1000,,48,False,False,1000,0,0.0,115.5,115.5,51639644.0,107.1,99.02964820861817,98.03358993530273,86.79436887105307,3.89965369250676,2.5919428354660896,1.3077108570406706,0.4812992539481922,True,0.20842653672750533,0.9366836572564283,0.17546851161414456,0.601203414592925,-0.42573490297878047,88.0,80.0,True,True,True,True,True,False,Already > 0,Already Up
2026-07-06,3264,欣銓,A,78.80000000000001,Neutral,20260706,1508000,,28,False,False,1508000,0,0.0,257.0,257.0,18791966.0,241.4,224.1687774658203,222.52110900878907,214.83786493937174,7.686516152821696,3.3861101627659504,4.300405990055745,3.2850278089153493,True,0.14708263638790675,0.4521239921608462,0.11412461127454598,0.11664374949734291,-0.002519138222796924,76.0,56.00000000000001,True,True,True,True,True,False,Already > 0,Already Up
2026-07-06,2449,京元電子,A,77.00000000000001,Neutral,20260706,3427000,,20,False,False,3427000,0,0.0,351.0,351.0,52835295.0,340.4,310.425,308.35,304.9166666666667,10.74252556296949,7.228644712359294,3.513880850610196,3.0118628657038844,True,0.1340872374798061,0.27636363636363637,0.10112921236644534,-0.059116606299866925,0.16024581866631227,74.0,44.0,True,True,True,True,True,False,Already > 0,Already Up
2026-07-06,2439,美律,C,38.2,Neutral,20260706,1000,,40,False,False,1000,0,0.0,91.80000305175781,91.80000305175781,2194642.0,90.73999938964843,90.88000030517578,90.88500022888184,89.08333307902018,0.12145857858826048,0.09570236126446377,0.02575621732379671,-0.08497030401060768,True,-0.0010881226600734095,0.0699300674427783,-0.03404614777343418,-0.265550175220725,0.23150402744729082,52.0,22.0,True,False,True,True,True,False,Already > 0,89.13
2026-07-06,2002,中鋼,C,36.4,Neutral,20260706,5163000,,11,False,False,5163000,0,0.0,19.0,19.0,26155208.0,18.8,18.909999942779542,18.924999904632568,19.009166717529297,-0.024730932561148222,-0.0033773581625860046,-0.021353574398562218,-0.0448866412328524,True,-0.015544002534698453,-0.05940597611961829,-0.04850202764805922,-0.3948862187831216,0.34638419113506236,48.0,16.0,True,False,False,False,True,True,19.27,18.56
2026-07-06,2382,廣達,C,35.8,Neutral,20260706,1000,,41,False,False,1000,0,0.0,378.0,378.0,24393671.0,372.8,372.025,372.65,344.9916666666667,2.537658681780499,2.9769523841043037,-0.4392937023238046,-1.0923859438610086,True,-0.03201024327784896,0.2076677316293929,-0.06496826839120973,-0.1278125110341104,0.06284424264290067,40.0,34.0,True,False,False,False,True,True,383.29,370.21
2026-07-06,5439,高技,C,33.199999999999996,Neutral,20260706,3528000,,19,False,False,3528000,0,0.0,348.0,348.0,2918522.0,334.8,331.925,332.75,367.9166666666667,-0.9798612066231271,-7.962016855315501,6.982155648692374,6.34882238645252,True,-0.04526748971193417,0.06422018348623859,-0.07822551482529494,-0.2712600591772647,0.19303454435196976,36.0,20.0,True,False,True,True,True,False,Already > 0,336.08
2026-07-06,2327,國巨*,D,59.199999999999996,Neutral,20260706,25098000,,2,True,False,25098000,0,0.0,1005.0,1005.0,42190083.0,1077.0,986.1966033935547,974.1226806640625,640.5365961710612,50.2845181777036,74.72631301311328,-24.44179483540968,-17.188487798528087,False,0.316269339145006,2.595776503475796,0.2833113140316452,2.260296260812293,-1.9769849467806477,96.0,100.0,True,True,False,False,False,False,,Already Up
