date,code,name,setup,trading_score,etf_tag,00981A_source_date,00981A_shares,00981A_weight,00981A_rank,00981A_top10,00981A_new,00981A_prev_shares,00981A_delta_shares,00981A_delta_pct,close_raw,close_adj,volume,ma5,ma20,ma20_prev,ma60,dif,macd,osc,osc_prev,osc_expanding,ret20,ret60,rs20,rs60,rs_accel,rs20_rank,rs60_rank,close_above_ma20,ma20_up,macd_bull,osc_positive,osc_improving,macd_near_cross,osc_flip_price,ma20_upturn_price
2026-07-14,8046,南電,A,108.4,Heavy Buy,20260714,9519000,,6,True,False,9231000,288000,0.031199220019499513,1290.0,1290.0,23025581.0,1219.0,1075.8856994628907,1054.2956451416017,940.2911855061849,75.4586376959221,62.68241462674969,12.776223069172417,10.144338359022932,True,0.5031480226739278,0.7855072502947071,0.4902677298641842,0.580672453170384,-0.09040472330619975,98.0,90.0,True,True,True,True,True,False,Already > 0,Already Up
2026-07-14,6488,環球晶,A,89.8,Neutral,20260714,50000,,36,False,False,50000,0,0.0,1515.0,1515.0,24952431.0,1386.0,1163.8,1135.55,889.3666666666667,125.24568851851996,92.9648024287483,32.280886089771656,28.990366264280823,True,0.5947368421052632,2.0,0.5818565492955197,1.7951652028756768,-1.2133086535801572,100.0,100.0,True,True,True,True,True,False,Already > 0,Already Up
2026-07-14,4958,臻鼎-KY,A,85.8,Neutral,20260714,1000,,44,False,False,1000,0,0.0,629.0,629.0,57471840.0,603.2,602.15,600.2,498.962651570638,12.28562269402687,10.594895325420241,1.6907273686066286,-0.2682129349619711,True,0.0661016949152542,1.2457429802935134,0.05322140210551063,1.0409081831691902,-0.9876867810636796,88.0,96.0,True,True,True,True,True,False,Already > 0,Already Up
2026-07-14,2382,廣達,A,79.8,Neutral,20260714,1000,,41,False,False,1000,0,0.0,380.0,380.0,22415089.0,376.4,372.575,372.075,350.68333333333334,2.5805741286022794,2.4862587379259184,0.09431539067636097,-0.23675951771634196,True,0.027027027027026973,0.17647058823529416,0.014146734217283408,-0.02836420888902902,0.04251094310631243,82.0,54.0,True,True,True,True,True,False,Already > 0,Already Up
2026-07-14,3711,日月光投控,D,65.0,Heavy Buy,20260714,15284000,,4,True,False,15139000,145000,0.009577911354779048,641.0,641.0,23727989.0,658.0,651.518017578125,648.7008209228516,574.9772298177083,9.732897713924217,16.53462341330269,-6.801725699378473,-4.141165466872366,False,0.0963710740311754,0.4634817400339124,0.08349078122143183,0.25864694290958923,-0.1751561616881574,92.0,78.0,False,True,False,False,False,True,717.92,Already Up
2026-07-14,2303,聯電,D,56.2,Neutral,20260714,86550000,,1,True,False,86550000,0,0.0,151.0,151.0,87674821.0,155.9,158.50433959960938,157.91029357910156,123.75109621683757,1.2228757085877078,4.590172776258969,-3.3672970676712612,-3.2007455561961873,False,0.08540108549585024,1.103894046904427,0.07252079268610667,0.8990592497801038,-0.8265384570939971,90.0,94.0,False,True,False,False,False,False,,Already Up
2026-07-14,2330,台積電,D,49.0,Neutral,20260714,11960000,,5,True,False,11960000,0,0.0,2420.0,2420.0,40414244.0,2431.0,2428.25,2426.0,2308.2264302571616,11.438550016502177,20.041284682177725,-8.602734665675548,-7.539714342721645,False,0.0189473684210526,0.19529864378018602,0.006067075611309036,-0.009536153344137155,0.015603228955446191,78.0,57.99999999999999,False,True,False,False,False,True,2516.8,Already Up
2026-07-14,2481,強茂,D,46.8,Neutral,20260714,5000,,37,False,False,5000,0,0.0,176.0,176.0,28548625.0,201.1,189.475,187.8,147.42333323160807,6.088105459827659,11.606776971260564,-5.518671511432904,-2.56786834979963,False,0.23508771929824568,0.4915254237288136,0.2222074264885021,0.2866906266044904,-0.06448320011598829,96.0,82.0,False,True,False,False,False,False,,Already Up
2026-07-14,8150,南茂,D,46.400000000000006,Neutral,20260714,1000,,48,False,False,1000,0,0.0,104.0,104.0,62315166.0,111.9,104.73876190185547,104.27327117919921,91.43081652323404,3.3764165942151294,3.701661578275898,-0.3252449840607685,0.949783799955302,False,0.09831868423698786,0.565063243237782,0.0854383914272443,0.36022844611345883,-0.27479005468621454,94.0,84.0,False,True,False,False,False,True,107.74,Already Up
2026-07-14,6669,緯穎,D,42.2,Neutral,20260714,2417000,,22,False,False,2417000,0,0.0,4905.0,4905.0,1094561.0,4999.0,4869.263452148438,4862.1175537109375,4907.952648925781,27.942351022402363,23.676233387161385,4.2661176352409775,20.104767702977945,False,0.03001165620670454,0.3264275852106566,0.017131363396960975,0.12159278808633345,-0.10446142468937247,84.0,72.0,True,True,True,True,False,False,Already > 0,Already Up
2026-07-14,2345,智邦,D,42.0,Neutral,20260714,6334000,,8,True,False,6334000,0,0.0,2280.0,2280.0,3085248.0,2408.0,2486.75,2494.25,2435.25,-28.994963998948606,6.633883001398945,-35.62884700034755,-22.63904148853111,False,-0.06172839506172845,0.10144927536231885,-0.07460868787147201,-0.10338552176200433,0.028776833890532316,57.99999999999999,48.0,False,False,False,False,False,False,2681.28,2737.63
2026-07-14,3037,欣興,D,41.8,Neutral,20260714,16333000,,3,True,False,16333000,0,0.0,874.0,874.0,28305611.0,878.0,949.8344055175781,954.0363189697266,909.7968241373698,-24.108727845978024,-13.717105924420924,-10.3916219215571,-12.079464422075047,True,-0.08771911494403939,0.36203680946115924,-0.10059940775378295,0.15720201233683606,-0.257801420090619,48.0,76.0,False,False,False,False,True,True,991.12,1058.82
2026-07-14,5347,世界,D,41.2,Neutral,20260714,1000,,43,False,False,1000,0,0.0,174.0,174.0,21019099.0,175.0,185.47181549072266,185.2950912475586,166.22795740763345,-1.8595259097051837,1.7088622225635408,-3.5683881322687245,-3.908336258962431,True,0.020734310165000158,0.3493798889186561,0.007854017355256593,0.14454509179433295,-0.13669107443907635,80.0,74.0,False,True,False,False,True,False,,Already Up
2026-07-14,2449,京元電子,D,40.0,Neutral,20260714,1886000,,25,False,False,1886000,0,0.0,291.5,291.5,30062410.0,304.2,318.0,317.475,306.8333333333333,-3.671590665314511,2.027735166890177,-5.699325832204688,-4.543368254492671,False,0.03736654804270456,0.06000000000000005,0.024486255232960996,-0.14483479712432312,0.16932105235728412,86.0,44.0,False,True,False,False,False,False,,Already Up
2026-07-14,2383,台光電,D,39.0,Neutral,20260714,4653000,,16,False,False,4653000,0,0.0,4970.0,4970.0,2513401.0,5200.0,5435.25,5438.25,4987.416666666667,-59.42402342936475,36.276584448938756,-95.70060787830352,-81.10142386674553,False,-0.011928429423459286,0.3078947368421052,-0.02480872223320285,0.10305993971778205,-0.1278686619509849,74.0,70.0,False,False,False,False,False,False,,5609.74
2026-07-14,6223,旺矽,D,38.6,Neutral,20260714,2443000,,21,False,False,2443000,0,0.0,6340.0,6340.0,815539.0,6715.6,6642.438549804688,6646.092797851563,5910.7640625,64.03532241178436,134.39166258139323,-70.35634016960887,-26.328589084080505,False,-0.011396225277329863,0.22457459954973658,-0.02427651808707343,0.0197398024254134,-0.04401632051248683,76.0,60.0,False,False,False,False,False,True,7138.84,6741.41
2026-07-14,3008,大立光,D,37.599999999999994,Neutral,20260714,1000,,38,False,False,1000,0,0.0,4265.0,4265.0,4758827.0,4092.0,4509.0,4516.75,3652.0833333333335,-60.83593121940157,-29.510182949297956,-31.325748270103617,-60.468475668737085,True,-0.03506787330316741,0.637236084452975,-0.04794816611291097,0.4324012873286518,-0.48034945344156277,64.0,86.0,False,False,False,False,True,True,4623.26,5116.84
2026-07-14,2327,國巨*,D,37.400000000000006,Neutral,20260714,25098000,,2,True,False,25098000,0,0.0,778.0,778.0,81495595.0,857.0,995.2,1003.3,696.1912521362304,-35.59704314739997,10.876007336700948,-46.47305048410092,-44.3883833557625,False,-0.17234042553191486,1.4757736263311525,-0.18522071834165843,1.2709388292068293,-1.4561595475484879,26.0,98.0,False,False,False,False,False,False,,1178.63
2026-07-14,3264,欣銓,D,37.0,Neutral,20260714,1508000,,28,False,False,1508000,0,0.0,217.5,217.5,6858866.0,228.9,228.76985855102538,229.0726776123047,219.77066090901693,0.2453728216014781,3.0217738281733295,-2.7764010065718514,-1.4976552628198947,False,-0.02709106844717879,0.289669976988016,-0.039971361256922355,0.08483517986369282,-0.12480654112061518,68.0,68.0,False,False,False,False,False,True,248.82,227.58
2026-07-14,1590,亞德客-KY,D,35.2,Neutral,20260714,528000,,30,False,False,528000,0,0.0,1290.0,1290.0,602061.0,1303.0,1353.75,1354.75,1381.5833333333333,-16.453486246981356,-4.688891887997272,-11.764594358984084,-11.364668681206624,False,-0.01526717557251911,0.027888446215139417,-0.028147468382262675,-0.17694635090918376,0.14879888252692108,72.0,38.0,False,False,False,False,False,True,1424.16,1362.11
2026-07-14,6147,頎邦,D,34.0,Neutral,20260714,6275000,,9,True,False,6275000,0,0.0,186.0,186.0,28337654.0,203.5,222.5099998474121,224.7906921386719,211.9366138458252,-9.453114855397047,-7.063583171609089,-2.3895316837879577,-1.0976056286799283,False,-0.1969392013792699,0.6375456809730247,-0.20981949418901347,0.4327108838487015,-0.642530378037715,18.0,88.0,False,False,False,False,False,True,213.16,263.13
2026-07-14,3017,奇鋐,D,33.6,Neutral,20260714,5191000,,10,True,False,5191000,0,0.0,2120.0,2120.0,4392728.0,2274.0,2435.25,2449.75,2543.6666666666665,-75.143711689876,-24.04493687453937,-51.098774815336625,-38.47406559963753,False,-0.1203319502074689,-0.1166666666666667,-0.13321224301721246,-0.32150146379098987,0.1882892207737774,38.0,24.0,False,False,False,False,False,False,,2701.84
2026-07-14,2002,中鋼,D,33.400000000000006,Neutral,20260714,5163000,,12,False,False,5163000,0,0.0,18.5,18.5,42217956.0,18.539999771118165,18.847499942779542,18.87249994277954,18.849166679382325,-0.12379309112201042,-0.07571154678937798,-0.04808154433263244,-0.05835725092669049,True,-0.02631578947368418,-0.07960200751761048,-0.03919608228342775,-0.28443680464193366,0.2452407223585059,70.0,26.0,False,False,False,False,True,True,19.05,19.02
2026-07-14,3376,新日興,D,33.0,Neutral,20260714,1741000,,27,False,False,1741000,0,0.0,197.5,197.5,3444024.0,195.3,198.35,198.625,206.5,-2.273096519150073,-2.7707265910719845,0.49763007192191155,0.12930453895006488,True,-0.027093596059113323,0.012820512820512775,-0.03997388886885689,-0.1920142843038104,0.1520403954349535,66.0,34.0,False,False,True,True,True,False,Already > 0,200.89
2026-07-14,2308,台達電,D,32.400000000000006,Heavy Buy,20260714,5181000,,11,False,False,5052000,129000,0.02553444180522565,1855.0,1855.0,10848364.0,1878.0,1985.4199951171875,2002.5951904296876,2116.7819010416665,-59.85807014107877,-59.68581266598758,-0.17225747509119316,0.28477722654894677,False,-0.15624439204928064,0.013423789146049359,-0.1691246848590242,-0.19141100797827382,0.022286323119249607,32.0,36.0,False,False,False,False,False,True,1858.71,2355.68
2026-07-14,6191,精成科,D,31.2,Neutral,20260714,3988000,,18,False,False,3988000,0,0.0,96.19999694824219,96.19999694824219,8960629.0,100.51999969482422,100.53960647583008,100.7526870727539,97.76636772155761,0.22918727598039368,1.237400242967163,-1.0082129669867694,-0.5269747181493254,False,-0.042420303494064004,-0.0561654892369583,-0.05530059630380757,-0.2610002863612815,0.2056996900574739,62.0,28.000000000000004,False,False,False,False,False,True,107.55,102.59
2026-07-14,4966,譜瑞-KY,D,31.2,Neutral,20260714,140000,,34,False,False,140000,0,0.0,628.0,628.0,1784136.0,649.4,652.15,654.5,686.9333333333333,-9.095432238960257,-12.055850728837177,2.96041848987692,5.415784357372832,False,-0.0696296296296296,0.1501831501831501,-0.08250992243937316,-0.05465164694117308,-0.02785827549820008,54.0,52.0,False,False,True,True,False,False,Already > 0,685.42
2026-07-14,6274,台燿,D,31.0,Neutral,20260714,5160000,,13,False,False,5160000,0,0.0,1395.0,1395.0,5226883.0,1546.0,1656.75,1665.5,1457.6166666666666,-39.48792304627318,-2.6373778382154187,-36.85054520805776,-24.61899953053997,False,-0.11146496815286622,0.474630021141649,-0.12434526096260978,0.2697952240173258,-0.3941404849799356,44.0,80.0,False,False,False,False,False,False,,1885.53
2026-07-14,6271,同欣電,D,31.0,Neutral,20260714,2966000,,20,False,False,2966000,0,0.0,225.5,225.5,9715228.0,244.1,253.05,253.975,220.51312688191732,-2.92019716662395,3.589179075111227,-6.509376241735177,-5.116865890786972,False,-0.07581967213114749,0.23102112650538742,-0.08869996494089105,0.026186329381064244,-0.1148862943219553,50.0,62.0,False,False,False,False,False,False,,253.5
2026-07-14,2439,美律,D,30.8,Neutral,20260714,1000,,40,False,False,1000,0,0.0,86.0,86.0,1878584.0,88.02000122070312,90.22000045776367,90.46000061035156,89.12666651407878,-0.9620593352912579,-0.3888495418923063,-0.5732097933989515,-0.44285787835349416,False,-0.05286346795629193,-0.0444444444444444,-0.0657437607660355,-0.24927924156876757,0.18353548080273208,60.0,30.0,False,False,False,False,False,True,92.54,93.94
2026-07-14,8996,高力,D,29.8,Neutral,20260714,1000,,50,False,False,1000,0,0.0,1175.0,1175.0,2555518.0,1239.0,1405.0,1409.0,1223.9833333333333,-42.22864915951004,1.227379403186566,-43.45602856269661,-42.69701007508627,False,-0.06374501992031878,-0.03688524590163933,-0.07662531273006234,-0.2417200430259625,0.16509473029590016,56.00000000000001,32.0,False,False,False,False,False,False,,1622.11
2026-07-14,2317,鴻海,D,29.2,Neutral,20260714,1000,,42,False,False,1000,0,0.0,235.5,235.5,48012646.0,236.9,245.28634185791014,246.4995574951172,245.1870371500651,-4.359818338977135,-4.447186410226882,0.0873680712497471,-0.0057547251833405255,True,-0.09340895401609761,0.17724815339491884,-0.10628924682584118,-0.027586643729404337,-0.07870260309643684,46.0,56.00000000000001,False,False,True,True,True,False,Already > 0,271.52
2026-07-14,2454,聯發科,D,26.2,Neutral,20260714,5131000,,14,False,False,5131000,0,0.0,3660.0,3660.0,12442577.0,3866.0,4152.169848632812,4191.3423828125,3741.139929199219,-113.31948490061359,-50.463372293123975,-62.856112607489614,-50.94554857461351,False,-0.1763158273560752,0.9126587512657935,-0.18919612016581877,0.7078239541414704,-0.8970200743072891,24.0,92.0,False,False,False,False,False,False,4370.04,5050.99
2026-07-14,1815,富喬,D,26.0,Neutral,20260714,107000,,35,False,False,107000,0,0.0,88.4000015258789,88.4000015258789,23065949.0,93.91999969482421,99.48499984741211,99.81999969482422,103.82999992370605,-2.540778858667224,-1.1564993356834423,-1.3842795229837817,-0.9511218512105388,False,-0.07045212466607365,-0.3039369958592212,-0.08333241747581721,-0.5087717929835444,0.42543937550772715,52.0,6.0,False,False,False,False,False,False,104.14,106.47
2026-07-14,2368,金像電,D,24.8,Neutral,20260714,8315000,,7,True,False,8315000,0,0.0,1015.0,1015.0,6193475.0,1072.0,1210.5798034667969,1225.3660034179688,1298.3605204264322,-65.10281743172504,-45.55510395292179,-19.547713478803253,-18.28935619375264,False,-0.22561881772498893,-0.13005685942541279,-0.2384991105347325,-0.33489165654973596,0.09639254601500347,10.0,20.0,False,False,False,False,False,False,,1541.42
2026-07-14,3661,世芯-KY,D,24.8,Neutral,20260714,1000,,46,False,False,1000,0,0.0,3725.0,3725.0,3306798.0,4069.0,4245.0,4271.25,4372.0,-91.25464393599668,-37.1390842715357,-54.11555966446098,-17.9179465719398,False,-0.12352941176470589,0.0597439544807965,-0.13640970457444945,-0.14509084264352667,0.008681138069077221,36.0,42.0,False,False,False,False,False,True,4335.9,4862.37
2026-07-14,3443,創意,D,24.6,Neutral,20260714,1000,,47,False,False,1000,0,0.0,4020.0,4020.0,2804844.0,4274.0,4681.0,4720.75,4625.169710286458,-145.45356314945002,-47.58469171817231,-97.86887143127771,-82.04868398067563,False,-0.1651090342679128,0.240649592394222,-0.17798932707765636,0.035814795269898836,-0.2138041223475552,28.000000000000004,64.0,False,False,False,False,False,False,,5615.79
2026-07-14,2313,華通,D,24.0,Neutral,20260714,1000,,39,False,False,1000,0,0.0,225.5,225.5,49413959.0,226.1,234.0525749206543,235.57843399047852,248.31731236775715,-4.9836760497396995,-6.677603370374624,1.6939273206349243,1.8044358848085187,False,-0.11919973975974507,-0.12906953020311418,-0.13208003256948864,-0.33390432732743736,0.20182429475794872,40.0,22.0,False,False,True,True,False,False,Already > 0,256.57
2026-07-14,5439,高技,D,23.6,Neutral,20260714,3528000,,19,False,False,3528000,0,0.0,293.0,293.0,2471693.0,318.5,324.25,326.2,362.55833333333334,-7.347630392243275,-4.750965053411437,-2.596665338831838,0.0018303877787815281,False,-0.1174698795180723,-0.2702366127023661,-0.13035017232781587,-0.4750714098266893,0.3447212374988734,42.0,12.0,False,False,False,False,False,True,322.3,355.39
2026-07-14,6187,萬潤,D,21.8,Neutral,20260714,1334000,,29,False,False,1334000,0,0.0,985.0,985.0,2029172.0,1015.0,1068.1,1075.35,1124.45,-21.75726404969646,-23.045953490320077,1.2886894406236173,4.444832995500537,False,-0.12831858407079644,-0.18930041152263377,-0.14119887688054,-0.39413520864695695,0.25293633176641694,34.0,18.0,False,False,True,True,False,False,Already > 0,1227.47
2026-07-14,6278,台表科,D,21.4,Neutral,20260714,4334000,,17,False,False,4334000,0,0.0,172.5,172.5,8602766.0,189.2870086669922,196.35621643066406,198.23070907592773,193.76300125122071,-4.605295821189117,-1.6832937999071702,-2.9220020212819464,-1.4974900203984307,False,-0.17853173563669833,0.1301728835725866,-0.1914120284464419,-0.07466191355173657,-0.11675011489470533,22.0,50.0,False,False,False,False,False,False,205.62,228.78
2026-07-14,3533,嘉澤,D,20.4,Neutral,20260714,1000,,45,False,False,1000,0,0.0,1925.0,1925.0,810407.0,1961.0,2132.5,2151.25,2396.25,-84.88589317006358,-76.17064903728453,-8.715244132779048,-8.977330511310285,True,-0.1630434782608695,-0.2269076305220884,-0.17592377107061308,-0.4317424276464116,0.2558186565757985,30.0,16.0,False,False,False,False,True,True,2025.1,2513.42
2026-07-14,5274,信驊,D,19.8,Neutral,20260714,416900,,31,False,False,416900,0,0.0,12985.0,12985.0,485666.0,13562.0,15215.211083984375,15371.78984375,15458.82880859375,-678.8206096775266,-454.35049850523427,-224.47011117229232,-210.04921195656567,False,-0.19430773333427054,0.03943348598626395,-0.2071880261440141,-0.16540131113805923,-0.04178671500595488,20.0,40.0,False,False,False,False,False,False,15530.06,18776.36
2026-07-14,8210,勤誠,D,18.6,Neutral,20260714,2267000,,24,False,False,2267000,0,0.0,1110.0,1110.0,1100592.0,1158.0,1257.9892456054688,1273.2337707519532,1297.369921875,-51.4029787040206,-36.80499862011463,-14.597980083905966,-13.127847846457001,False,-0.21548699514088043,0.09985646899205891,-0.228367287950624,-0.10497832813226426,-0.12338895981835973,14.000000000000002,46.0,False,False,False,False,False,True,1274.28,1491.51
2026-07-14,8358,金居,D,17.6,Neutral,20260714,1000,,49,False,False,1000,0,0.0,460.0,460.0,11649912.0,509.4,584.2,592.4,519.75,-28.415914672441886,-14.119891633567157,-14.29602303887473,-11.592404397540978,False,-0.2628205128205128,0.2517006802721089,-0.27570080563025634,0.046865883147785725,-0.32256668877804207,4.0,66.0,False,False,False,False,False,False,,762.74
2026-07-14,3665,貿聯-KY,D,14.8,Neutral,20260714,4833848,,15,False,False,4833848,0,0.0,1775.0,1775.0,2792452.0,1854.0,1955.75,1980.25,2249.0,-62.23889136352409,-53.62596405762307,-8.612927305901017,-1.6395895036214228,False,-0.2163355408388521,-0.2494714587737844,-0.22921583364859566,-0.4543062558981076,0.22509042224951192,12.0,14.000000000000002,False,False,False,False,False,True,1874.4,2310.26
2026-07-14,3653,健策,D,14.8,Neutral,20260714,2267000,,23,False,False,2267000,0,0.0,3070.0,3070.0,1075913.0,3175.0,3464.5,3502.75,3883.8333333333335,-133.0045503362794,-115.49102025675889,-17.51353007952052,-13.49554009696925,False,-0.19947848761408082,-0.32749178532311063,-0.2123587804238244,-0.5323265824474338,0.3199678020236094,16.0,2.0,False,False,False,False,False,True,3272.62,4200.26
2026-07-14,6805,富世達,D,13.0,Neutral,20260714,1811000,,26,False,False,1811000,0,0.0,1320.0,1320.0,1063008.0,1409.0,1619.25,1640.0,1808.5833333333333,-101.55261152256912,-78.50322242051513,-23.049389102053993,-18.84117671494434,False,-0.239193083573487,-0.2941176470588235,-0.2520733763832306,-0.49895244418314666,0.24687906779991609,8.0,8.0,False,False,False,False,False,False,1581.36,2040.0
2026-07-14,6515,穎崴,D,10.8,Neutral,20260714,204000,,33,False,False,204000,0,0.0,7040.0,7040.0,468115.0,7530.0,8666.75,8811.0,9250.75,-451.6843438665701,-254.51490671435027,-197.1694371522198,-175.63622545901006,False,-0.2906801007556675,-0.31683648714216395,-0.3035603935654111,-0.5216712842664871,0.21811089070107603,2.0,4.0,False,False,False,False,False,False,,11657.37
2026-07-14,6510,精測,D,3.1999999999999997,Heavy Sell,20260714,349000,,32,False,False,411000,-62000,-0.15085158150851583,2700.0,2700.0,744793.0,2801.95302734375,3177.1308837890624,3220.9166259765625,3429.1773356119793,-160.8852282361786,-121.26943642000441,-39.61579181617418,-40.27844085894053,True,-0.24490623050679328,-0.2741812585819836,-0.25778652331653684,-0.4790160557063068,0.22122953238976995,6.0,10.0,False,False,False,False,True,True,3148.2,3983.47
