date,code,name,setup,trading_score,etf_tag,00981A_source_date,00981A_shares,00981A_weight,00981A_rank,00981A_top10,00981A_new,00981A_prev_shares,00981A_delta_shares,00981A_delta_pct,close_raw,close_adj,volume,ma5,ma20,ma20_prev,ma60,dif,macd,osc,osc_prev,osc_expanding,ret20,ret60,rs20,rs60,rs_accel,rs20_rank,rs60_rank,close_above_ma20,ma20_up,macd_bull,osc_positive,osc_improving,macd_near_cross,osc_flip_price,ma20_upturn_price
2026-06-22,2327,國巨*,A,100.4,Neutral,20260622,23892000,,2,True,False,23892000,0,0.0,1065.0,1065.0,61760096.0,1003.8,826.8246978759765,804.8006439208984,506.14573872884114,102.64289640589038,86.96692547716329,15.675970928727097,15.501060056862329,True,0.7053126244243861,3.282002499047075,0.575816385768489,2.818088601208559,-2.24227221544007,98.0,98.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,2303,聯電,A,97.0,Neutral,20260622,77390000,,1,True,False,77390000,0,0.0,160.0,160.0,66034760.0,145.6,135.675,133.375,97.96166655222575,7.558964393790774,5.767159065246086,1.7918053285446875,0.32574614933913093,True,0.4035087719298245,1.831858407079646,0.2740125332739274,1.3679445092411295,-1.0939319759672022,90.0,88.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,8150,南茂,A,95.8,Neutral,20260622,11635000,,6,True,False,11635000,0,0.0,114.0,114.0,51887743.0,100.68000030517578,97.39000053405762,95.64500045776367,80.19500045776367,3.834786272948392,2.5719913040894906,1.2627949688589015,-0.0634416846642476,True,0.44121368140477313,0.9964974263820194,0.31171744274887603,0.532583528543503,-0.22086608579462697,92.0,70.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,3711,日月光投控,A,90.80000000000001,Neutral,20260622,17948000,,3,True,False,17948000,0,0.0,674.0,674.0,36281541.0,612.8,596.65,591.0,505.125,17.860332918808467,10.022815338947566,7.837517579860901,1.3858958062896551,True,0.2014260249554367,1.0270676691729324,0.07192978629953961,0.5631537713344159,-0.4912239850348763,74.0,74.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,6669,緯穎,A,90.8,Neutral,20260622,2492000,,24,False,False,2492000,0,0.0,4855.0,4855.0,1998627.0,2191.1369384765626,1761.9700317382812,1603.5278930664062,1478.723198445638,350.40480496064447,64.36586035224238,286.03894460840206,-12.067791377735958,True,1.8793281691160502,3.2706814260788626,1.749831930460153,2.8067675282403464,-1.0569355977801933,100.0,96.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,3037,欣興,A,88.4,Heavy Buy,20260622,13307000,,4,True,False,12466000,841000,0.06746350072196373,1005.0,1005.0,27737893.0,980.4,979.3,977.55,810.675,12.4950819324863,9.254545576554117,3.240536355932184,-0.5832743702879917,True,0.03608247422680422,1.1847826086956523,-0.09341376442909288,0.7208687108571359,-0.8142824752862288,36.0,80.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,6488,環球晶,A,88.4,Neutral,20260622,350000,,39,False,False,350000,0,0.0,1115.0,1115.0,1870937.0,1064.0,918.15,898.25,697.2666666666667,76.25619279860973,47.38770082789087,28.868491970718864,28.738978894963665,True,0.5550906555090656,1.5840092699884125,0.42559441685316846,1.120095372149896,-0.6945009552967276,96.0,84.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,6271,同欣電,A,88.19999999999999,Heavy Buy,20260622,2966000,,23,False,False,1966000,1000000,0.508646998982706,266.5,266.5,27315973.0,240.5,239.09031372070314,236.94875106811523,195.06146113077799,7.021449957365149,5.980629786308853,1.0408201710562963,-2.014548465566402,True,0.19149413423266126,0.8676360289140506,0.06199789557676416,0.4037221310755341,-0.34172423549876996,72.0,66.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,8358,金居,A,86.0,Neutral,20260622,980000,,33,False,False,980000,0,0.0,691.0,691.0,26148823.0,657.4,601.1,592.65,441.9166666666667,37.01291428436548,30.16650650277335,6.846407781592131,5.1007452448289285,True,0.3237547892720307,2.119638826185102,0.19425855061613362,1.6557249283465854,-1.4614663777304517,86.0,90.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,6147,頎邦,A,85.2,Neutral,20260622,6275000,,12,False,False,6275000,0,0.0,277.0,277.0,10539172.0,242.9627685546875,253.09376678466796,249.8861511230469,178.63981908162435,4.547160438970565,4.256425824439171,0.2907346145313934,-4.027460929122054,True,0.30140009603427753,3.3480885781751173,0.17190385737838043,2.884174680336601,-2.712270822958221,80.0,100.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,6274,台燿,A,85.2,Neutral,20260622,5058000,,16,False,False,5058000,0,0.0,1900.0,1900.0,7634926.0,1717.0,1623.75,1601.5,1216.8643931070962,80.93866662292999,53.81418274036373,27.12448388256626,11.102673858411784,True,0.30584192439862545,2.540105601808627,0.17634568574272835,2.0761917039701103,-1.899846018227382,82.0,94.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,2330,台積電,A,83.4,Neutral,20260622,11960000,,5,True,False,11960000,0,0.0,2510.0,2510.0,43209389.0,2416.0,2342.71962890625,2329.66962890625,2171.1143513997395,42.16156730546027,26.51768119149675,15.643886113963518,6.120365623935406,True,0.11605157847932412,0.39043991412536116,-0.013444660176572976,-0.07347398371315528,0.0600293235365823,62.0,36.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,2449,京元電子,A,82.80000000000001,Neutral,20260622,6484000,,10,True,False,6484000,0,0.0,339.0,339.0,81523934.0,297.4,304.525,302.375,295.4916666666667,1.5517190272900052,-3.684013357277828,5.235732384567833,0.5995715532965802,True,0.14527027027027017,0.21723518850987422,0.015774031614373074,-0.24667870932864222,0.2624527409430153,64.0,24.0,True,True,True,True,True,False,Already > 0,Already Up
2026-06-22,2481,強茂,A,82.80000000000001,Neutral,20260622,5000,,43,False,False,5000,0,0.0,176.0,176.0,4027597.0,152.8,150.075,147.95,120.7123462677002,5.641703105117784,4.0442282522288915,1.597474852888893,-0.8409433023985087,True,0.3183520599250935,0.8457886431936366,0.18885582126919642,0.3818747453551201,-0.1930189240859237,84.0,64.0,True,True,True,True,True,False,Already > 0,Already Up
