date,code,name,setup,trading_score,etf_tag,00981A_source_date,00981A_shares,00981A_weight,00981A_rank,00981A_top10,00981A_new,00981A_prev_shares,00981A_delta_shares,00981A_delta_pct,close_raw,close_adj,volume,ma5,ma20,ma20_prev,ma60,dif,macd,osc,osc_prev,osc_expanding,ret20,ret60,rs20,rs60,rs_accel,rs20_rank,rs60_rank,close_above_ma20,ma20_up,macd_bull,osc_positive,osc_improving,macd_near_cross,osc_flip_price,ma20_upturn_price
2026-07-16,8150,南茂,A,88.60000000000001,Neutral,20260716,1000,,48,False,False,1000,0,0.0,122.5,122.5,180291849.0,114.5,107.20829238891602,105.7684326171875,93.04390106201171,4.387536454642287,3.801201553886747,0.5863349007555403,-0.18817499831214546,True,0.30732479746070074,0.674293259717063,0.31134606332122117,0.4398110929716381,-0.12846502965041695,98.0,90.0,True,True,True,True,True,False,Already > 0,Already Up
2026-07-16,6669,緯穎,A,81.8,Neutral,20260716,2417000,,23,False,False,2417000,0,0.0,5115.0,5115.0,636509.0,5023.0,4895.780419921875,4886.881201171875,4945.299340820313,46.48855924932468,30.55461375862574,15.933945490698939,11.57957599515845,True,0.03605100500365532,0.24718934978168416,0.04007227086417575,0.012707183036259284,0.027365087827916468,82.0,70.0,True,True,True,True,True,False,Already > 0,Already Up
2026-07-16,3711,日月光投控,C,75.19999999999999,Heavy Buy,20260716,16135000,,4,True,False,15770000,365000,0.023145212428662017,682.0,682.0,21703625.0,670.6,660.9555816650391,656.3361206054688,582.3098164876302,11.733704185195847,14.711978116048446,-2.9782739308525983,-4.312307258164385,True,0.156695271714832,0.4581222162427099,0.16071653757535243,0.223640049497285,-0.06292351192193257,92.0,80.0,True,True,False,False,True,True,716.1,Already Up
2026-07-16,2330,台積電,C,60.6,Neutral,20260716,11960000,,5,True,False,11960000,0,0.0,2470.0,2470.0,29218446.0,2437.0,2434.5,2430.25,2322.323807779948,14.019398093503241,17.415344833362205,-3.395946739858964,-7.107812655380862,True,0.03563941299790363,0.20809251177807564,0.03966067885842406,-0.02638965496734924,0.0660503338257733,80.0,64.0,True,True,False,False,True,True,2509.52,Already Up
2026-07-16,3264,欣銓,C,52.0,Neutral,20260716,1508000,,28,False,False,1508000,0,0.0,237.5,237.5,9745285.0,227.9,230.7153465270996,229.20924377441406,221.04014689127604,0.6967191431808999,2.0177829347943232,-1.3210637916134234,-2.6948997819026026,True,0.14525197007575974,0.1758290853616804,0.14927323593628017,-0.058653081383744476,0.20792631732002465,86.0,60.0,True,True,False,False,True,True,252.7,Already Up
2026-07-16,3665,貿聯-KY,C,40.6,Neutral,20260716,4833848,,16,False,False,4833848,0,0.0,1955.0,1955.0,2807151.0,1864.5810791015624,1923.5696044921874,1929.4256225585937,2213.456614176432,-35.25770219854735,-49.038771359371516,13.781069160824167,2.7326668312814633,True,-0.056521987580420596,-0.18685809436519285,-0.05250072171990017,-0.42134026111061773,0.36883953939071756,62.0,18.0,True,False,True,True,True,False,Already > 0,2048.95
2026-07-16,6187,萬潤,C,38.0,Neutral,20260716,1334000,,29,False,False,1334000,0,0.0,1075.0,1075.0,3146681.0,1045.0,1061.1,1065.1,1117.7833333333333,-6.553131167913307,-18.079841399398177,11.52671023148487,8.337738132202734,True,-0.06926406926406925,-0.19172932330827064,-0.06524280340354882,-0.4262114900536955,0.3609686866501467,54.0,16.0,True,False,True,True,True,False,Already > 0,1220.37
2026-07-16,2449,京元電子,D,60.4,Heavy Buy,20260716,5193000,,10,True,False,4119000,1074000,0.2607428987618354,318.0,318.0,30373269.0,306.4,321.325,319.45,308.05,-2.3109959302060474,0.25267754583006946,-2.563673476036117,-4.536557008204314,True,0.1336898395721926,0.1316725978647686,0.13771110543271303,-0.10280956888065629,0.24052067431336932,84.0,52.0,False,True,False,False,True,True,347.26,Already Up
2026-07-16,8046,南電,D,59.0,Neutral,20260716,9519000,,6,True,False,9519000,0,0.0,1275.0,1275.0,19371014.0,1293.0,1121.2228240966797,1101.6301513671874,958.7631764729817,84.79577815085736,71.71784675862888,13.077931392228479,23.063797135288254,False,0.4437015086865983,0.6193610137998713,0.44772277454711873,0.3848788470544464,0.06284392749267231,100.0,88.0,True,True,True,True,False,False,Already > 0,Already Up
2026-07-16,2303,聯電,D,58.0,Neutral,20260716,86550000,,1,True,False,86550000,0,0.0,160.0,160.0,87227079.0,157.3,160.99074935913086,159.87296524047852,126.6756980895996,2.0915537773637993,3.701973208601316,-1.6104194312375166,-1.9423788393930996,True,0.16241631153736225,1.135673136360535,0.16643757739788267,0.9011909696151101,-0.7347533922172275,94.0,96.0,False,True,False,False,True,True,178.24,Already Up
