Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,2327,國巨*,100,-2.10,Heavy Buy,強,,,
A,2,6488,環球晶,98,-0.63,Neutral,強,,,
A,3,3008,大立光,96,-0.53,Neutral,強,,,
A,4,8996,高力,94,-0.16,Neutral,強,,,
A,5,8358,金居,92,-1.44,Neutral,強,,,
A,6,6274,台燿,90,-1.76,Heavy Buy,強,,,
A,7,4958,臻鼎-KY,88,-1.54,Neutral,可觀察,,,
A,8,2303,聯電,84,-1.02,Neutral,可觀察,,,
A,9,3711,日月光投控,76,-0.36,Neutral,一般,,,
A,10,2383,台光電,74,-0.51,Neutral,一般,,,
A,11,3653,健策,70,+0.46,Neutral,一般,,,
A,12,5274,信驊,68,-0.20,Neutral,一般,,,
A,13,6187,萬潤,62,-0.06,Neutral,一般,,,
A,14,2330,台積電,58,+0.05,Neutral,一般,,,
A,15,2449,京元電子,56,+0.30,Heavy Buy,一般,,,
A,16,6510,精測,54,+0.32,Neutral,一般,,,
A,17,5347,世界,48,-0.18,Neutral,一般,,,
A,18,3264,欣銓,44,-0.25,Heavy Buy,一般,,,
A,19,6191,精成科,40,+0.27,Neutral,一般,,,
A,20,2002,中鋼,38,+0.34,Neutral,一般,,,
Priority1,1,2327,國巨*,100,-2.10,Heavy Buy,強,,,
Priority1,2,6488,環球晶,98,-0.63,Neutral,強,,,
Priority1,3,3008,大立光,96,-0.53,Neutral,強,,,
Priority2,4,8996,高力,94,-0.16,Neutral,強,,,
Priority2,5,8358,金居,92,-1.44,Neutral,強,,,
