Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3653,健策,100,+0.34,Neutral,強,,,
A,2,3665,貿聯-KY,98,+0.48,Neutral,強,,,
A,3,6669,緯穎,96,+0.21,Neutral,強,,,
A,4,3017,奇鋐,94,+0.18,Neutral,強,,,
A,5,3008,大立光,92,-0.39,Neutral,強,,,
A,6,6805,富世達,90,+0.37,Neutral,強,,,
A,7,5274,信驊,88,+0.25,Neutral,可觀察,,,
A,8,1590,亞德客-KY,86,+0.23,Neutral,可觀察,,,
A,9,4979,華星光,84,+0.47,Neutral,可觀察,,,
A,10,6187,萬潤,82,+0.33,Neutral,可觀察,,,
A,11,2408,南亞科,80,-0.18,Neutral,可觀察,,,
A,12,3037,欣興,78,+0.10,Neutral,一般,,,
A,13,2317,鴻海,76,+0.11,Neutral,一般,,,
A,14,2049,上銀,75,+0.16,Neutral,一般,,,
A,15,2454,聯發科,69,+0.00,Neutral,一般,,,
Priority1,1,3653,健策,100,+0.34,Neutral,強,,,
Priority1,2,3665,貿聯-KY,98,+0.48,Neutral,強,,,
Priority1,3,6669,緯穎,96,+0.21,Neutral,強,,,
Priority2,4,3017,奇鋐,94,+0.18,Neutral,強,,,
Priority2,5,3008,大立光,92,-0.39,Neutral,強,,,
