Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,6669,緯穎,100,+0.19,Neutral,強,,,
A,2,3665,貿聯-KY,98,+0.48,Neutral,強,,,
A,3,3653,健策,94,+0.51,Neutral,強,,,
A,4,1590,亞德客-KY,88,+0.17,Neutral,可觀察,,,
A,5,2317,鴻海,86,+0.01,Neutral,可觀察,,,
A,6,2002,中鋼,80,+0.14,Neutral,可觀察,,,
Priority1,1,6669,緯穎,100,+0.19,Neutral,強,,,
Priority1,2,3665,貿聯-KY,98,+0.48,Neutral,強,,,
Priority1,3,3653,健策,94,+0.51,Neutral,強,,,
Priority2,4,1590,亞德客-KY,88,+0.17,Neutral,可觀察,,,
Priority2,5,2317,鴻海,86,+0.01,Neutral,可觀察,,,
