Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,6488,環球晶,100,-1.11,Neutral,強,,,
A,2,2383,台光電,90,-0.34,Neutral,強,,,
A,3,6223,旺矽,84,-0.17,Neutral,可觀察,,,
A,4,6271,同欣電,78,-0.19,Neutral,一般,,,
A,5,6515,穎崴,74,+0.20,Heavy Sell,一般,,,
A,6,1590,亞德客-KY,68,+0.08,Neutral,一般,,,
A,7,2345,智邦,66,-0.19,Neutral,一般,,,
A,8,3661,世芯-KY,62,-0.23,Neutral,一般,,,
A,9,3264,欣銓,60,-0.14,Neutral,一般,,,
A,10,3017,奇鋐,50,+0.10,Neutral,一般,,,
Priority1,1,6488,環球晶,100,-1.11,Neutral,強,,,
Priority1,2,2383,台光電,90,-0.34,Neutral,強,,,
Priority1,3,6223,旺矽,84,-0.17,Neutral,可觀察,,,
Priority2,4,6271,同欣電,78,-0.19,Neutral,一般,,,
Priority2,5,6515,穎崴,74,+0.20,Heavy Sell,一般,,,
