Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3017,奇鋐,98,+0.21,Neutral,強,,,
A,2,3653,健策,96,-0.03,Neutral,強,,,
A,3,3443,創意,94,+0.25,Neutral,強,,,
A,4,6187,萬潤,86,+0.15,Neutral,可觀察,,,
A,5,2408,南亞科,82,-0.57,Neutral,可觀察,,,
A,6,2360,致茂,80,+0.17,Neutral,可觀察,,,
A,7,8996,高力,78,-0.01,Neutral,一般,,,
A,8,2454,聯發科,76,-0.04,Neutral,一般,,,
A,9,3661,世芯-KY,66,+0.34,Neutral,一般,,,
A,10,3008,大立光,64,-0.23,Neutral,一般,,,
Priority1,1,3017,奇鋐,98,+0.21,Neutral,強,,,
Priority1,2,3653,健策,96,-0.03,Neutral,強,,,
Priority1,3,3443,創意,94,+0.25,Neutral,強,,,
Priority2,4,6187,萬潤,86,+0.15,Neutral,可觀察,,,
Priority2,5,2408,南亞科,82,-0.57,Neutral,可觀察,,,
