Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,2327,國巨*,100,-0.50,Neutral,強,,,
A,2,2357,華碩,94,+0.02,Neutral,強,,,
A,3,3008,大立光,92,+0.08,Neutral,強,,,
A,4,2317,鴻海,78,+0.15,Neutral,一般,,,
A,5,2382,廣達,76,+0.10,Heavy Buy,一般,,,
A,6,1319,東陽,74,+0.46,Neutral,一般,,,
A,7,2330,台積電,49,+0.04,Neutral,一般,,,
A,8,2439,美律,45,+0.14,Neutral,一般,,,
A,9,3665,貿聯-KY,4,-0.27,Neutral,一般,,,
B,1,6669,緯穎,,,Neutral,,5625.15,Already Upturn,0.00%
Priority1,1,2327,國巨*,100,-0.50,Neutral,強,,,
Priority1,2,2357,華碩,94,+0.02,Neutral,強,,,
Priority1,3,3008,大立光,92,+0.08,Neutral,強,,,
Priority2,4,2317,鴻海,78,+0.15,Neutral,一般,,,
Priority2,5,2382,廣達,76,+0.10,Heavy Buy,一般,,,
Watchlist,1,6669,緯穎,,,Neutral,,5625.15,Already Upturn,0.00%
