Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3653,健策,100,+0.03,Neutral,強,,,
A,2,4979,華星光,98,+0.41,Heavy Buy,Leader,,,
A,3,5274,信驊,92,+0.16,Heavy Buy,強,,,
A,4,3443,創意,90,+0.21,Neutral,強,,,
A,5,2360,致茂,84,+0.19,Heavy Buy,可觀察,,,
A,6,3008,大立光,82,-0.11,Neutral,可觀察,,,
A,7,2317,鴻海,80,+0.11,Neutral,可觀察,,,
A,8,2383,台光電,76,-0.02,Neutral,一般,,,
A,9,3661,世芯-KY,72,+0.29,Neutral,一般,,,
A,10,6187,萬潤,70,+0.15,Neutral,一般,,,
A,11,2002,中鋼,64,+0.09,Neutral,一般,,,
A,12,6223,旺矽,62,+0.00,Neutral,一般,,,
A,13,3533,嘉澤,60,+0.25,Neutral,一般,,,
Priority1,1,3653,健策,100,+0.03,Neutral,強,,,
Priority1,2,4979,華星光,98,+0.41,Heavy Buy,Leader,,,
Priority1,3,5274,信驊,92,+0.16,Heavy Buy,強,,,
Priority2,4,3443,創意,90,+0.21,Neutral,強,,,
Priority2,5,2360,致茂,84,+0.19,Heavy Buy,可觀察,,,
