Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,6510,精測,84,+0.30,Heavy Buy,可觀察,,,
A,2,2454,聯發科,80,+0.10,Heavy Buy,可觀察,,,
A,3,2303,聯電,76,+0.12,Neutral,一般,,,
A,4,5274,信驊,74,+0.05,Neutral,一般,,,
A,5,2382,廣達,58,+0.18,Neutral,一般,,,
A,6,2449,京元電子,54,+0.12,Neutral,一般,,,
A,7,2360,致茂,52,+0.16,Neutral,一般,,,
A,8,4958,臻鼎-KY,48,+0.20,Heavy Buy,一般,,,
A,9,2330,台積電,44,+0.01,Neutral,一般,,,
A,10,2327,國巨*,40,+0.38,Neutral,一般,,,
A,11,2308,台達電,34,+0.22,Neutral,一般,,,
Priority1,1,6510,精測,84,+0.30,Heavy Buy,可觀察,,,
Priority1,2,2454,聯發科,80,+0.10,Heavy Buy,可觀察,,,
Priority1,3,2303,聯電,76,+0.12,Neutral,一般,,,
Priority2,4,5274,信驊,74,+0.05,Neutral,一般,,,
Priority2,5,2382,廣達,58,+0.18,Neutral,一般,,,
