Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,8996,高力,100,+0.10,Neutral,強,,,
A,2,2481,強茂,94,-0.34,Neutral,強,,,
A,3,3711,日月光投控,86,-0.34,Neutral,可觀察,,,
A,4,6271,同欣電,80,-0.34,Neutral,可觀察,,,
A,5,3443,創意,74,-0.66,Neutral,一般,,,
A,6,3264,欣銓,72,+0.04,Neutral,一般,,,
A,7,2345,智邦,66,-0.16,Neutral,一般,,,
A,8,1590,亞德客-KY,62,+0.11,Neutral,一般,,,
A,9,3037,欣興,58,-0.53,Neutral,一般,,,
A,10,2330,台積電,54,+0.08,Neutral,一般,,,
Priority1,1,8996,高力,100,+0.10,Neutral,強,,,
Priority1,2,2481,強茂,94,-0.34,Neutral,強,,,
Priority1,3,3711,日月光投控,86,-0.34,Neutral,可觀察,,,
Priority2,4,6271,同欣電,80,-0.34,Neutral,可觀察,,,
Priority2,5,3443,創意,74,-0.66,Neutral,一般,,,
