Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,6669,緯穎,100,-1.06,Neutral,強,,,
A,2,2327,國巨*,98,-2.24,Neutral,強,,,
A,3,6488,環球晶,96,-0.69,Neutral,強,,,
A,4,8150,南茂,92,-0.22,Neutral,強,,,
A,5,2303,聯電,90,-1.09,Neutral,強,,,
A,6,8358,金居,86,-1.46,Neutral,可觀察,,,
A,7,2481,強茂,84,-0.19,Neutral,可觀察,,,
A,8,6274,台燿,82,-1.90,Neutral,可觀察,,,
A,9,6147,頎邦,80,-2.71,Neutral,可觀察,,,
A,10,3711,日月光投控,74,-0.49,Neutral,一般,,,
A,11,6271,同欣電,72,-0.34,Heavy Buy,一般,,,
A,12,5347,世界,70,-0.18,Neutral,一般,,,
A,13,2383,台光電,68,-0.67,Neutral,一般,,,
A,14,2449,京元電子,64,+0.26,Neutral,一般,,,
A,15,2330,台積電,62,+0.06,Neutral,一般,,,
A,16,6187,萬潤,60,-0.01,Neutral,一般,,,
A,17,3264,欣銓,58,-0.24,Neutral,一般,,,
A,18,5274,信驊,54,-0.35,Neutral,一般,,,
A,19,2002,中鋼,52,+0.39,Neutral,一般,,,
A,20,6191,精成科,48,+0.27,Neutral,一般,,,
A,21,2439,美律,44,+0.29,Neutral,一般,,,
A,22,2345,智邦,42,-0.31,Neutral,一般,,,
A,23,2368,金像電,38,-0.19,Neutral,一般,,,
A,24,3037,欣興,36,-0.81,Heavy Buy,一般,,,
Priority1,1,6669,緯穎,100,-1.06,Neutral,強,,,
Priority1,2,2327,國巨*,98,-2.24,Neutral,強,,,
Priority1,3,6488,環球晶,96,-0.69,Neutral,強,,,
Priority2,4,8150,南茂,92,-0.22,Neutral,強,,,
Priority2,5,2303,聯電,90,-1.09,Neutral,強,,,
