Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3008,大立光,98,+0.12,Neutral,強,,,
A,2,2481,強茂,94,+0.05,Neutral,強,,,
A,3,2357,華碩,92,-0.03,Neutral,強,,,
A,4,1319,東陽,76,+0.49,Neutral,一般,,,
A,5,2317,鴻海,74,+0.09,Neutral,一般,,,
A,6,2382,廣達,72,+0.01,Neutral,一般,,,
A,7,3017,奇鋐,65,-0.12,Neutral,一般,,,
A,8,3376,新日興,55,+0.20,Neutral,一般,,,
A,9,2330,台積電,49,+0.04,Neutral,一般,,,
A,10,2449,京元電子,31,+0.10,Neutral,一般,,,
A,11,3665,貿聯-KY,4,-0.21,Neutral,一般,,,
B,1,6669,緯穎,,,Neutral,,5600.0,Already Upturn,0.00%
B,2,8210,勤誠,,,Neutral,,1491.67,Already Upturn,0.00%
B,3,2345,智邦,,,Neutral,,2686.19,Already Upturn,0.00%
B,4,8046,南電,,,Neutral,,904.0,947.01,
B,5,2368,金像電,,,Neutral,,1385.0,1450.01,
B,6,5439,高技,,,Neutral,,391.09,407.01,
Priority1,1,3008,大立光,98,+0.12,Neutral,強,,,
Priority1,2,2481,強茂,94,+0.05,Neutral,強,,,
Priority1,3,2357,華碩,92,-0.03,Neutral,強,,,
Priority2,4,1319,東陽,76,+0.49,Neutral,一般,,,
Priority2,5,2317,鴻海,74,+0.09,Neutral,一般,,,
Watchlist,1,6669,緯穎,,,Neutral,,5600.0,Already Upturn,0.00%
Watchlist,2,8210,勤誠,,,Neutral,,1491.67,Already Upturn,0.00%
Watchlist,3,2345,智邦,,,Neutral,,2686.19,Already Upturn,0.00%
Watchlist,4,8046,南電,,,Neutral,,904.0,947.01,
Watchlist,5,2368,金像電,,,Neutral,,1385.0,1450.01,
