Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3653,健策,100,+0.24,Neutral,強,,,
A,2,3443,創意,96,+0.45,Neutral,強,,,
A,3,6187,萬潤,94,+0.30,Neutral,強,,,
A,4,3037,欣興,92,+0.36,Heavy Buy,強,,,
A,5,6805,富世達,88,+0.43,Neutral,可觀察,,,
A,6,2383,台光電,86,+0.20,Neutral,可觀察,,,
A,7,6669,緯穎,82,+0.21,Neutral,可觀察,,,
A,8,3008,大立光,78,-0.10,Neutral,一般,,,
A,9,2360,致茂,74,+0.27,Neutral,一般,,,
A,10,2345,智邦,50,+0.20,Neutral,一般,,,
A,11,2382,廣達,34,-0.02,Neutral,一般,,,
A,12,4958,臻鼎-KY,32,+0.10,Neutral,一般,,,
A,13,2481,強茂,30,-0.02,Neutral,一般,,,
Priority1,1,3653,健策,100,+0.24,Neutral,強,,,
Priority1,2,3443,創意,96,+0.45,Neutral,強,,,
Priority1,3,6187,萬潤,94,+0.30,Neutral,強,,,
Priority2,4,3037,欣興,92,+0.36,Heavy Buy,強,,,
Priority2,5,6805,富世達,88,+0.43,Neutral,可觀察,,,
