Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,8358,金居,96,-0.74,Neutral,強,,,
A,2,6274,台燿,88,-1.81,Neutral,可觀察,,,
A,3,3008,大立光,84,-0.06,Neutral,可觀察,,,
A,4,2357,華碩,82,-0.10,Neutral,可觀察,,,
A,5,2317,鴻海,76,+0.09,Neutral,一般,,,
A,6,2382,廣達,67,-0.00,Heavy Buy,一般,,,
A,7,2330,台積電,43,-0.08,Neutral,一般,,,
A,8,3376,新日興,39,+0.06,Neutral,一般,,,
A,9,3533,嘉澤,35,-0.61,Neutral,一般,,,
A,10,3017,奇鋐,24,-0.47,Neutral,一般,,,
B,1,5347,世界,,,Neutral,,179.0,Already Upturn,0.00%
B,2,6669,緯穎,,,Neutral,,5674.41,Already Upturn,0.00%
B,3,5439,高技,,,Neutral,,392.48,403.01,
B,4,8046,南電,,,Neutral,,907.82,997.01,
Priority1,1,8358,金居,96,-0.74,Neutral,強,,,
Priority1,2,6274,台燿,88,-1.81,Neutral,可觀察,,,
Priority1,3,3008,大立光,84,-0.06,Neutral,可觀察,,,
Priority2,4,2357,華碩,82,-0.10,Neutral,可觀察,,,
Priority2,5,2317,鴻海,76,+0.09,Neutral,一般,,,
Watchlist,1,5347,世界,,,Neutral,,179.0,Already Upturn,0.00%
Watchlist,2,6669,緯穎,,,Neutral,,5674.41,Already Upturn,0.00%
Watchlist,3,5439,高技,,,Neutral,,392.48,403.01,
Watchlist,4,8046,南電,,,Neutral,,907.82,997.01,
