Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3653,健策,100,+0.13,Neutral,強,,,
A,2,3017,奇鋐,98,+0.24,Neutral,強,,,
A,3,6669,緯穎,90,+0.23,Neutral,強,,,
A,4,2383,台光電,88,+0.13,Neutral,可觀察,,,
A,5,6187,萬潤,82,+0.21,Neutral,可觀察,,,
A,6,8996,高力,76,+0.13,Neutral,一般,,,
A,7,2360,致茂,70,+0.29,Neutral,一般,,,
A,8,6510,精測,62,+0.33,Neutral,一般,,,
A,9,8046,南電,58,-0.29,Neutral,一般,,,
A,10,2345,智邦,54,+0.25,Neutral,一般,,,
A,11,2308,台達電,48,+0.22,Neutral,一般,,,
A,12,8358,金居,46,+0.28,Neutral,一般,,,
A,13,2382,廣達,32,-0.03,Neutral,一般,,,
Priority1,1,3653,健策,100,+0.13,Neutral,強,,,
Priority1,2,3017,奇鋐,98,+0.24,Neutral,強,,,
Priority1,3,6669,緯穎,90,+0.23,Neutral,強,,,
Priority2,4,2383,台光電,88,+0.13,Neutral,可觀察,,,
Priority2,5,6187,萬潤,82,+0.21,Neutral,可觀察,,,
