Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,2303,聯電,100,+0.35,Neutral,強,,,
A,2,3264,欣銓,96,+0.02,Neutral,強,,,
A,3,8996,高力,94,+0.24,Neutral,強,,,
A,4,3443,創意,90,-0.36,Neutral,強,,,
A,5,2481,強茂,88,+0.28,Neutral,可觀察,,,
A,6,5274,信驊,86,-0.13,Neutral,可觀察,,,
A,7,2449,京元電子,84,+0.24,Heavy Buy,可觀察,,,
A,8,5347,世界,72,+0.24,Neutral,一般,,,
A,9,2360,致茂,70,-0.06,Neutral,一般,,,
A,10,3711,日月光投控,68,+0.04,Neutral,一般,,,
A,11,8150,南茂,66,+0.08,Neutral,一般,,,
A,12,2382,廣達,60,+0.06,Neutral,一般,,,
A,13,6223,旺矽,58,+0.14,Neutral,一般,,,
A,14,2330,台積電,46,-0.05,Neutral,一般,,,
A,15,6191,精成科,40,+0.14,Neutral,一般,,,
A,16,4966,譜瑞-KY,36,+0.03,Neutral,一般,,,
Priority1,1,2303,聯電,100,+0.35,Neutral,強,,,
Priority1,2,3264,欣銓,96,+0.02,Neutral,強,,,
Priority1,3,8996,高力,94,+0.24,Neutral,強,,,
Priority2,4,3443,創意,90,-0.36,Neutral,強,,,
Priority2,5,2481,強茂,88,+0.28,Neutral,可觀察,,,
