Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,2368,金像電,90,+0.40,Neutral,強,,,
A,2,6271,同欣電,82,+0.16,Neutral,可觀察,,,
A,3,2313,華通,80,+0.22,Neutral,可觀察,,,
A,4,3661,世芯-KY,76,+0.18,Neutral,一般,,,
A,5,6669,緯穎,74,-0.32,Neutral,一般,,,
A,6,3264,欣銓,72,+0.03,Neutral,一般,,,
A,7,2481,強茂,68,+0.10,Neutral,一般,,,
A,8,4958,臻鼎-KY,66,+0.11,Heavy Buy,一般,,,
A,9,2308,台達電,60,+0.27,Neutral,一般,,,
A,10,2382,廣達,54,+0.14,Neutral,一般,,,
A,11,2449,京元電子,52,+0.06,Neutral,一般,,,
A,12,8150,南茂,50,-0.01,Neutral,一般,,,
A,13,2303,聯電,48,-0.05,Neutral,一般,,,
A,14,6510,精測,46,+0.18,Neutral,一般,,,
A,15,2454,聯發科,44,-0.00,Neutral,一般,,,
A,16,5274,信驊,42,-0.03,Neutral,一般,,,
A,17,2330,台積電,34,-0.07,Neutral,一般,,,
A,18,6515,穎崴,32,+0.17,Heavy Buy,一般,,,
A,19,6488,環球晶,28,-0.31,Neutral,一般,,,
A,20,3711,日月光投控,26,-0.15,Neutral,一般,,,
A,21,2317,鴻海,24,-0.01,Neutral,一般,,,
A,22,6191,精成科,20,+0.05,Neutral,一般,,,
A,23,3665,貿聯-KY,12,-0.16,Neutral,一般,,,
Priority1,1,2368,金像電,90,+0.40,Neutral,強,,,
Priority1,2,6271,同欣電,82,+0.16,Neutral,可觀察,,,
Priority1,3,2313,華通,80,+0.22,Neutral,可觀察,,,
Priority2,4,3661,世芯-KY,76,+0.18,Neutral,一般,,,
Priority2,5,6669,緯穎,74,-0.32,Neutral,一般,,,
