Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3017,奇鋐,92,-0.22,Neutral,強,,,
A,2,8996,高力,82,+0.13,Neutral,可觀察,,,
A,3,6271,同欣電,78,+0.16,Neutral,一般,,,
A,4,2382,廣達,72,+0.21,Neutral,一般,,,
A,5,3661,世芯-KY,68,+0.12,Neutral,一般,,,
A,6,2637,慧洋-KY,64,-0.11,Neutral,一般,,,
A,7,2454,聯發科,62,+0.07,Neutral,一般,,,
A,8,6488,環球晶,60,-0.10,Neutral,一般,,,
A,9,2303,聯電,58,+0.09,Neutral,一般,,,
A,10,2308,台達電,56,+0.28,Neutral,一般,,,
A,11,6515,穎崴,44,+0.25,Heavy Buy,一般,,,
Priority1,1,3017,奇鋐,92,-0.22,Neutral,強,,,
Priority1,2,8996,高力,82,+0.13,Neutral,可觀察,,,
Priority1,3,6271,同欣電,78,+0.16,Neutral,一般,,,
Priority2,4,2382,廣達,72,+0.21,Neutral,一般,,,
Priority2,5,3661,世芯-KY,68,+0.12,Neutral,一般,,,
