Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3443,創意,86,+0.27,Neutral,可觀察,,,
A,2,6274,台燿,82,-0.04,Neutral,可觀察,,,
A,3,2360,致茂,80,+0.27,Neutral,可觀察,,,
A,4,2383,台光電,74,-0.02,Neutral,一般,,,
A,5,2002,中鋼,66,+0.07,Neutral,一般,,,
A,6,3661,世芯-KY,64,+0.29,Neutral,一般,,,
A,7,3533,嘉澤,62,+0.27,Neutral,一般,,,
A,8,3264,欣銓,56,+0.12,Neutral,一般,,,
Priority1,1,3443,創意,86,+0.27,Neutral,可觀察,,,
Priority1,2,6274,台燿,82,-0.04,Neutral,可觀察,,,
Priority1,3,2360,致茂,80,+0.27,Neutral,可觀察,,,
Priority2,4,2383,台光電,74,-0.02,Neutral,一般,,,
Priority2,5,2002,中鋼,66,+0.07,Neutral,一般,,,
