Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,2303,聯電,80,+0.13,Neutral,可觀察,,,
A,2,8996,高力,78,+0.18,Neutral,一般,,,
A,3,2637,慧洋-KY,74,-0.14,Neutral,一般,,,
A,4,2360,致茂,52,+0.05,Neutral,一般,,,
A,5,3711,日月光投控,46,-0.06,Neutral,一般,,,
A,6,2330,台積電,42,-0.00,Neutral,一般,,,
Priority1,1,2303,聯電,80,+0.13,Neutral,可觀察,,,
Priority1,2,8996,高力,78,+0.18,Neutral,一般,,,
Priority1,3,2637,慧洋-KY,74,-0.14,Neutral,一般,,,
Priority2,4,2360,致茂,52,+0.05,Neutral,一般,,,
Priority2,5,3711,日月光投控,46,-0.06,Neutral,一般,,,
