Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3443,創意,100,-0.22,Neutral,強,,,
A,2,2454,聯發科,98,+0.16,Neutral,強,,,
A,3,8996,高力,94,+0.30,Neutral,強,,,
A,4,5274,信驊,92,-0.03,Neutral,強,,,
A,5,6805,富世達,90,-0.14,Neutral,強,,,
A,6,2449,京元電子,88,+0.34,Neutral,可觀察,,,
A,7,3264,欣銓,86,+0.06,Heavy Sell,可觀察,,,
A,8,2303,聯電,84,+0.29,Neutral,可觀察,,,
A,9,2481,強茂,82,+0.32,Neutral,可觀察,,,
A,10,2360,致茂,80,+0.12,Neutral,可觀察,,,
A,11,8150,南茂,78,+0.15,Neutral,一般,,,
A,12,6278,台表科,76,+0.15,Neutral,一般,,,
A,13,3711,日月光投控,74,+0.15,Neutral,一般,,,
A,14,5347,世界,72,+0.33,Neutral,一般,,,
A,15,2308,台達電,60,+0.14,Heavy Buy,一般,,,
A,16,3665,貿聯-KY,56,-0.10,Heavy Sell,一般,,,
A,17,2327,國巨*,50,+0.55,Heavy Buy,一般,,,
A,18,4966,譜瑞-KY,48,+0.11,Neutral,一般,,,
A,19,6191,精成科,46,+0.23,Neutral,一般,,,
A,20,2317,鴻海,44,+0.01,Neutral,一般,,,
A,21,2330,台積電,40,+0.01,Neutral,一般,,,
A,22,3037,欣興,38,-0.02,Neutral,一般,,,
A,23,4979,華星光,34,-0.27,Neutral,一般,,,
A,24,8046,南電,32,+0.03,Neutral,一般,,,
Priority1,1,3443,創意,100,-0.22,Neutral,強,,,
Priority1,2,2454,聯發科,98,+0.16,Neutral,強,,,
Priority1,3,8996,高力,94,+0.30,Neutral,強,,,
Priority2,4,5274,信驊,92,-0.03,Neutral,強,,,
Priority2,5,6805,富世達,90,-0.14,Neutral,強,,,
