Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,2481,強茂,100,-0.34,Neutral,強,,,
A,2,6488,環球晶,92,-1.26,Heavy Sell,強,,,
A,3,6223,旺矽,88,-0.22,Neutral,可觀察,,,
A,4,3711,日月光投控,82,-0.49,Neutral,可觀察,,,
A,5,3443,創意,78,-0.70,Neutral,一般,,,
A,6,8150,南茂,76,-0.38,Neutral,一般,,,
A,7,3264,欣銓,72,-0.12,Neutral,一般,,,
A,8,6191,精成科,70,+0.26,Neutral,一般,,,
A,9,2449,京元電子,66,+0.18,Neutral,一般,,,
A,10,3661,世芯-KY,62,-0.34,Neutral,一般,,,
A,11,2345,智邦,60,-0.24,Neutral,一般,,,
A,12,6278,台表科,58,-0.88,Neutral,一般,,,
A,13,2330,台積電,56,+0.09,Neutral,一般,,,
A,14,1590,亞德客-KY,54,+0.07,Neutral,一般,,,
Priority1,1,2481,強茂,100,-0.34,Neutral,強,,,
Priority1,2,6488,環球晶,92,-1.26,Heavy Sell,強,,,
Priority1,3,6223,旺矽,88,-0.22,Neutral,可觀察,,,
Priority2,4,3711,日月光投控,82,-0.49,Neutral,可觀察,,,
Priority2,5,3443,創意,78,-0.70,Neutral,一般,,,
