Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,6669,緯穎,100,-1.01,Heavy Sell,強,,,
A,2,2481,強茂,96,-0.20,Neutral,強,,,
A,3,2303,聯電,94,-1.19,Neutral,強,,,
A,4,5347,世界,78,-0.07,Neutral,一般,,,
A,5,6147,頎邦,76,-2.26,Neutral,一般,,,
A,6,2330,台積電,72,+0.06,Neutral,一般,,,
A,7,6223,旺矽,70,-0.37,Neutral,一般,,,
A,8,3711,日月光投控,68,-0.48,Neutral,一般,,,
A,9,6510,精測,62,+0.24,Neutral,一般,,,
A,10,3264,欣銓,58,-0.14,Neutral,一般,,,
A,11,2449,京元電子,56,+0.23,Neutral,一般,,,
A,12,2383,台光電,54,-0.64,Neutral,一般,,,
A,13,8046,南電,50,-0.33,Neutral,一般,,,
Priority1,1,6669,緯穎,100,-1.01,Heavy Sell,強,,,
Priority1,2,2481,強茂,96,-0.20,Neutral,強,,,
Priority1,3,2303,聯電,94,-1.19,Neutral,強,,,
Priority2,4,5347,世界,78,-0.07,Neutral,一般,,,
Priority2,5,6147,頎邦,76,-2.26,Neutral,一般,,,
