Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,8996,高力,100,+0.15,Neutral,強,,,
A,2,8046,南電,96,-0.38,Heavy Buy,強,,,
A,3,3711,日月光投控,88,-0.38,Neutral,可觀察,,,
A,4,6191,精成科,82,+0.31,Neutral,可觀察,,,
A,5,6271,同欣電,80,-0.35,Neutral,可觀察,,,
A,6,2449,京元電子,74,+0.23,Neutral,一般,,,
A,7,3037,欣興,66,-0.80,Heavy Buy,一般,,,
A,8,1815,富喬,64,+0.27,Neutral,一般,,,
Priority1,1,8996,高力,100,+0.15,Neutral,強,,,
Priority1,2,8046,南電,96,-0.38,Heavy Buy,強,,,
Priority1,3,3711,日月光投控,88,-0.38,Neutral,可觀察,,,
Priority2,4,6191,精成科,82,+0.31,Neutral,可觀察,,,
Priority2,5,6271,同欣電,80,-0.35,Neutral,可觀察,,,
