Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,2327,國巨*,100,-1.53,Heavy Buy,強,,,
A,2,6488,環球晶,98,-0.40,Neutral,強,,,
A,3,3008,大立光,96,-0.36,Neutral,強,,,
A,4,8996,高力,94,+0.07,Neutral,強,,,
A,5,4958,臻鼎-KY,92,-1.38,Neutral,強,,,
A,6,3653,健策,84,+0.50,Neutral,可觀察,,,
A,7,5274,信驊,70,-0.16,Neutral,一般,,,
A,8,2383,台光電,68,-0.45,Neutral,一般,,,
A,9,3443,創意,58,-0.60,Neutral,一般,,,
A,10,2330,台積電,56,+0.02,Neutral,一般,,,
A,11,8046,南電,48,-0.35,Neutral,一般,,,
A,12,6187,萬潤,46,-0.12,Neutral,一般,,,
A,13,6191,精成科,42,+0.24,Neutral,一般,,,
A,14,2345,智邦,40,-0.27,Neutral,一般,,,
Priority1,1,2327,國巨*,100,-1.53,Heavy Buy,強,,,
Priority1,2,6488,環球晶,98,-0.40,Neutral,強,,,
Priority1,3,3008,大立光,96,-0.36,Neutral,強,,,
Priority2,4,8996,高力,94,+0.07,Neutral,強,,,
Priority2,5,4958,臻鼎-KY,92,-1.38,Neutral,強,,,
