Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,2327,國巨*,100,-1.27,Neutral,強,,,
A,2,4958,臻鼎-KY,98,-1.13,Neutral,強,,,
A,3,2404,漢唐,94,+0.11,Neutral,強,,,
A,4,3008,大立光,90,-0.30,Neutral,強,,,
A,5,8996,高力,78,+0.09,Neutral,一般,,,
A,6,3653,健策,75,+0.42,Neutral,一般,,,
A,7,6191,精成科,69,+0.33,Neutral,一般,,,
A,8,3665,貿聯-KY,65,-0.01,Neutral,一般,,,
A,9,5347,世界,57,-0.13,Neutral,一般,,,
A,10,6223,旺矽,43,-0.46,Neutral,一般,,,
A,11,3443,創意,35,-0.69,Neutral,一般,,,
Priority1,1,2327,國巨*,100,-1.27,Neutral,強,,,
Priority1,2,4958,臻鼎-KY,98,-1.13,Neutral,強,,,
Priority1,3,2404,漢唐,94,+0.11,Neutral,強,,,
Priority2,4,3008,大立光,90,-0.30,Neutral,強,,,
Priority2,5,8996,高力,78,+0.09,Neutral,一般,,,
