Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,6510,精測,92,+0.30,Neutral,強,,,
A,2,2454,聯發科,80,+0.13,Neutral,可觀察,,,
A,3,5274,信驊,78,-0.00,Neutral,一般,,,
A,4,6515,穎崴,62,+0.35,Neutral,一般,,,
A,5,2360,致茂,54,+0.10,Neutral,一般,,,
A,6,2330,台積電,46,+0.01,Heavy Buy,一般,,,
A,7,4958,臻鼎-KY,44,+0.20,Neutral,一般,,,
Priority1,1,6510,精測,92,+0.30,Neutral,強,,,
Priority1,2,2454,聯發科,80,+0.13,Neutral,可觀察,,,
Priority1,3,5274,信驊,78,-0.00,Neutral,一般,,,
Priority2,4,6515,穎崴,62,+0.35,Neutral,一般,,,
Priority2,5,2360,致茂,54,+0.10,Neutral,一般,,,
