Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,4979,華星光,92,+0.40,Neutral,強,,,
A,2,8996,高力,88,+0.10,Neutral,可觀察,,,
A,3,6271,同欣電,68,+0.31,Neutral,一般,,,
A,4,2313,華通,64,+0.34,Neutral,一般,,,
A,5,2303,聯電,52,+0.15,Neutral,一般,,,
A,6,2481,強茂,50,+0.15,Neutral,一般,,,
A,7,3376,新日興,40,+0.10,Neutral,一般,,,
A,8,2330,台積電,32,-0.05,Neutral,一般,,,
A,9,2449,京元電子,20,+0.15,Neutral,一般,,,
A,10,2439,美律,16,+0.03,Neutral,一般,,,
Priority1,1,4979,華星光,92,+0.40,Neutral,強,,,
Priority1,2,8996,高力,88,+0.10,Neutral,可觀察,,,
Priority1,3,6271,同欣電,68,+0.31,Neutral,一般,,,
Priority2,4,2313,華通,64,+0.34,Neutral,一般,,,
Priority2,5,2303,聯電,52,+0.15,Neutral,一般,,,
