Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,2327,國巨*,100,-1.34,Heavy Buy,強,,,
A,2,6488,環球晶,98,-0.43,Neutral,強,,,
A,3,4958,臻鼎-KY,96,-1.25,Neutral,強,,,
A,4,3008,大立光,90,-0.44,Neutral,強,,,
A,5,8996,高力,88,+0.08,Neutral,可觀察,,,
A,6,8046,南電,66,-0.26,Neutral,一般,,,
A,7,6223,旺矽,62,-0.42,Neutral,一般,,,
A,8,3443,創意,58,-0.57,Neutral,一般,,,
A,9,2330,台積電,54,+0.00,Neutral,一般,,,
A,10,5347,世界,52,-0.16,Neutral,一般,,,
A,11,6191,精成科,50,+0.27,Neutral,一般,,,
A,12,6515,穎崴,42,-0.12,Neutral,一般,,,
A,13,6187,萬潤,32,-0.29,Neutral,一般,,,
Priority1,1,2327,國巨*,100,-1.34,Heavy Buy,強,,,
Priority1,2,6488,環球晶,98,-0.43,Neutral,強,,,
Priority1,3,4958,臻鼎-KY,96,-1.25,Neutral,強,,,
Priority2,4,3008,大立光,90,-0.44,Neutral,強,,,
Priority2,5,8996,高力,88,+0.08,Neutral,可觀察,,,
