Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3008,大立光,100,-0.01,Neutral,強,,,
A,2,8358,金居,98,+0.87,Neutral,強,,,
A,3,6805,富世達,96,+0.60,Neutral,強,,,
A,4,4979,華星光,92,+0.66,Neutral,強,,,
A,5,6187,萬潤,90,+0.21,Heavy Sell,強,,,
A,6,8996,高力,86,+0.35,Neutral,可觀察,,,
A,7,3037,欣興,82,+0.32,Neutral,可觀察,,,
A,8,3017,奇鋐,80,+0.27,Neutral,可觀察,,,
A,9,2313,華通,78,+0.53,Neutral,一般,,,
A,10,6278,台表科,76,+0.42,Neutral,一般,,,
A,11,8046,南電,74,-0.03,Neutral,一般,,,
A,12,2368,金像電,70,+0.54,Neutral,一般,,,
A,13,6271,同欣電,68,+0.42,Neutral,一般,,,
A,14,6669,緯穎,66,-0.00,Neutral,一般,,,
A,15,2481,強茂,62,+0.31,Neutral,一般,,,
A,16,8150,南茂,60,+0.27,Neutral,一般,,,
A,17,3264,欣銓,58,+0.25,Neutral,一般,,,
A,18,3376,新日興,56,+0.25,Neutral,一般,,,
A,19,4958,臻鼎-KY,52,+0.18,Neutral,一般,,,
A,20,2449,京元電子,48,+0.27,Heavy Buy,一般,,,
A,21,3711,日月光投控,40,+0.07,Neutral,一般,,,
A,22,4966,譜瑞-KY,28,+0.24,Heavy Sell,一般,,,
A,23,2330,台積電,20,-0.05,Heavy Sell,一般,,,
Priority1,1,3008,大立光,100,-0.01,Neutral,強,,,
Priority1,2,8358,金居,98,+0.87,Neutral,強,,,
Priority1,3,6805,富世達,96,+0.60,Neutral,強,,,
Priority2,4,4979,華星光,92,+0.66,Neutral,強,,,
Priority2,5,6187,萬潤,90,+0.21,Heavy Sell,強,,,
