Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3443,創意,100,-0.29,Neutral,強,,,
A,2,2454,聯發科,96,+0.12,Neutral,強,,,
A,3,6805,富世達,88,-0.25,Neutral,可觀察,,,
A,4,8150,南茂,84,+0.18,Neutral,可觀察,,,
A,5,3711,日月光投控,80,+0.18,Heavy Sell,可觀察,,,
A,6,3665,貿聯-KY,78,-0.00,Neutral,一般,,,
A,7,2481,強茂,74,+0.26,Neutral,一般,,,
A,8,3653,健策,70,-0.77,Neutral,一般,,,
A,9,6223,旺矽,68,+0.28,Neutral,一般,,,
A,10,2368,金像電,58,+0.17,Heavy Buy,一般,,,
A,11,2308,台達電,56,+0.13,Neutral,一般,,,
A,12,2327,國巨*,54,+0.57,Neutral,一般,,,
A,13,6278,台表科,52,+0.01,Neutral,一般,,,
A,14,2317,鴻海,48,-0.02,Neutral,一般,,,
A,15,2330,台積電,46,+0.04,Neutral,一般,,,
A,16,8046,南電,42,-0.00,Neutral,一般,,,
A,17,6488,環球晶,36,+0.14,Neutral,一般,,,
Priority1,1,3443,創意,100,-0.29,Neutral,強,,,
Priority1,2,2454,聯發科,96,+0.12,Neutral,強,,,
Priority1,3,6805,富世達,88,-0.25,Neutral,可觀察,,,
Priority2,4,8150,南茂,84,+0.18,Neutral,可觀察,,,
Priority2,5,3711,日月光投控,80,+0.18,Heavy Sell,可觀察,,,
