Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3653,健策,100,+0.38,Neutral,強,,,
A,2,6669,緯穎,98,+0.15,Neutral,強,,,
A,3,3665,貿聯-KY,96,+0.48,Neutral,強,,,
A,4,6187,萬潤,94,+0.25,Neutral,強,,,
A,5,3008,大立光,92,-0.48,Neutral,強,,,
A,6,3037,欣興,90,+0.14,Heavy Buy,強,,,
A,7,2408,南亞科,88,-0.26,Neutral,可觀察,,,
A,8,5274,信驊,86,+0.23,Neutral,可觀察,,,
A,9,6805,富世達,84,+0.38,Neutral,可觀察,,,
A,10,3017,奇鋐,82,+0.15,Neutral,可觀察,,,
A,11,2317,鴻海,80,+0.14,Neutral,可觀察,,,
A,12,1590,亞德客-KY,78,+0.23,Neutral,一般,,,
A,13,4979,華星光,76,+0.49,Neutral,一般,,,
A,14,3533,嘉澤,75,+0.43,Neutral,一般,,,
Priority1,1,3653,健策,100,+0.38,Neutral,強,,,
Priority1,2,6669,緯穎,98,+0.15,Neutral,強,,,
Priority1,3,3665,貿聯-KY,96,+0.48,Neutral,強,,,
Priority2,4,6187,萬潤,94,+0.25,Neutral,強,,,
Priority2,5,3008,大立光,92,-0.48,Neutral,強,,,
